isbn13,isbn10,title,subtitle,authors,categories,thumbnail,description,published_year,average_rating,num_pages,ratings_count
9780140059021,0140059024,Wodehouse on crime,,,,http://books.google.com/books/content?id=YrZrAQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,,1981.0,4.39,557.0,3143.0
9780140509786,014050978X,"Burt Dow, Deep-Water Man",,,Juvenile Fiction,http://books.google.com/books/content?id=fwlV2WW-jVsC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Burt goes fishing, takes refuge from a storm in a whale's stomach, and decorates a whole school of whales' tails with striped band-aids.",1989.0,4.1,64.0,645.0
9780141026282,0141026286,The Epic of Gilgamesh,,,Fiction,http://books.google.com/books/content?id=GJ-gPwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Enkidu is created by the gods to challenge the arrogant King Gilgamesh, but instead of killing each other, the two become friends.JTravelling together to the Cedar Forest, they fight and slay the evil monster Humbaba.JBut when Enkidu is killed, his death haunts and breaks the mighty Gilgamesh, who resolves to find the secret of eternal life.",2006.0,3.67,120.0,51735.0
9780141181226,0141181222,One Flew Over the Cuckoo's Nest,,,Fiction,http://books.google.com/books/content?id=j6NsKmZbk58C&printsec=frontcover&img=1&zoom=1&source=gbs_api,"McMurphy, a criminal who feigns insanity, is admitted to a mental hospital where he challenges the autocratic authority of the head nurse.",1962.0,4.19,281.0,3859.0
9780142300701,0142300705,A Year Down Yonder,,,Juvenile Fiction,http://books.google.com/books/content?id=D_VjuQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"During the recession of 1937, fifteen-year-old Mary Alice is sent to live with her feisty, larger-than-life grandmother in rural Illinois and comes to a better understanding of this fearsome woman. A Newbery Medal Winner & ALA Notable Book. Reprint.",2002.0,4.11,160.0,25534.0
9780192751164,0192751166,Tales of the Norse Gods,,,Juvenile Fiction,http://books.google.com/books/content?id=jj2SxgaaKIoC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"Collects stories of courageous women, revenege, strength in battle, legendary heroes, beasts, dwarves, and Viking gods adapted from the Norse tradition.",2001.0,4.07,160.0,40.0
9780345277602,0345277600,"Sir Gawain and the Green Knight, Pearl, and Sir Orfeo",,,Fiction,http://books.google.com/books/content?id=5VrVfA3bT6kC&printsec=frontcover&img=1&zoom=1&source=gbs_api,The scholar-fantacist offers faithful translations of the three classics of Medieval English verse,1980.0,3.97,214.0,1240.0
9780375802430,0375802436,Flap Your Wings,,,Juvenile Fiction,http://books.google.com/books/content?id=yK46lkqpJ1cC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Two birds unwittingly hatch an alligator egg, which has been accidently placed in their nest, and then try to teach their ""son"" to fly.",2000.0,4.24,48.0,1228.0
9780375822971,0375822976,Big Dog ... Little Dog,,,Juvenile Fiction,http://books.google.com/books/content?id=O8haAAAAYAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,Two dogs are opposite in every way but are the very best of friends.,2003.0,4.11,48.0,86.0
9780385085335,0385085338,Maccabbees,I [and] II,,Bible,,,1976.0,3.92,592.0,7.0
9780385503952,0385503954,Atonement,A Novel. XA-GB. ...,,Fiction,,"In 1935 England, thirteen-year-old Briony Tallis witnesses an event involving her sister Cecilia and her childhood friend Robbie Turner, and she becomes the victim of her own imagination, which leads her on a lifelong search for truth and absolution.",2001.0,3.89,351.0,1539.0
9780393002034,0393002039,Three Greek Plays,,,Drama,http://books.google.com/books/content?id=wEFfze3L7mgC&printsec=frontcover&img=1&zoom=1&source=gbs_api,Three classic Greek tragedies are translated and critically introduced by Edith Hamilton.,1958.0,4.05,240.0,76.0
9780394800837,0394800834,McElligot's Pool,,,Juvenile Fiction,http://books.google.com/books/content?id=6Pi31997cx8C&printsec=frontcover&img=1&zoom=1&source=gbs_api,A boy imagines the rare and wonderful fish he might catch in McElligot's pool.,1974.0,4.07,64.0,4403.0
9780394800912,0394800915,Dr. Seuss's Sleep Book,,,Juvenile Fiction,http://books.google.com/books/content?id=sc2EvwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Tells, in verse, what happens when all ninety-nine zillion nine trillion and three creatures in the world go to sleep.",1962.0,4.17,58.0,8683.0
