isbn13,isbn10,title,subtitle,authors,categories,thumbnail,description,published_year,average_rating,num_pages,ratings_count
9780006906018,000690601X,The Princess of the Chalet School,,Elinor Mary Brent-Dyer,Juvenile Fiction,http://books.google.com/books/content?id=EJcQPwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,,2000.0,4.1,159.0,446.0
9780007127740,000712774X,The illustrated man,,Ray Bradbury,Fiction,http://books.google.com/books/content?id=kePqlVft1bQC&printsec=frontcover&img=1&zoom=1&source=gbs_api,,2002.0,4.14,186.0,56781.0
9780020442806,0020442807,"The Chronicles of Narnia: Lion, the witch and the wardrobe",,Clive Staples Lewis,Fairy tales,,,1978.0,4.26,1425.0,1446.0
9780023513206,0023513209,Reason in History,A General Introduction to the Philosophy of History,Georg Wilhelm Friedrich Hegel,Philosophy,http://books.google.com/books/content?id=BCvcYQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,,1953.0,3.64,95.0,430.0
9780026995016,0026995018,Spandau,The Secret Diaries,Albert Speer,History,,,1976.0,4.12,463.0,6.0
9780064405461,006440546X,Betsy and Joe,,Maud Hart Lovelace,Juvenile Fiction,http://books.google.com/books/content?id=fPnLzAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,,1995.0,4.31,336.0,4411.0
9780073250359,007325035X,Heat and Mass Transfer,A Practical Approach,Yunus A. Çengel,Heat,http://books.google.com/books/content?id=K_ybSQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,,2006.0,4.16,901.0,182.0
9780091520809,0091520800,My Sweet-orange Tree,,José Mauro de Vasconcelos,Juvenile Nonfiction,http://books.google.com/books/content?id=A8_uAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,,1983.0,4.39,166.0,49.0
9780140042320,0140042326,The Pearl,The Red Pony ; Ill. by Wesley Dennis ; [both By] John Steinbeck,John Steinbeck,,,,1987.0,3.64,181.0,1431.0
9780140059021,0140059024,Wodehouse on crime,,,,http://books.google.com/books/content?id=YrZrAQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,,1981.0,4.39,557.0,3143.0
9780140093148,0140093141,"I, Claudius and Claudius the God",,Robert Graves,Autobiographical fiction,http://books.google.com/books/content?id=0NW1swEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,,1986.0,4.43,839.0,2422.0
9780140097313,0140097317,The New York Trilogy,Ghosts,Paul Auster,,,,1987.0,3.79,203.0,11696.0
