Category,Precision,Recall,F1
Fantasy,0.019801980198019802,0.8,0.03864734299516908
Science Fiction,0.022684310018903593,0.6666666666666666,0.043875685557586835
Love,0.002457002457002457,0.5,0.004889975550122249
Mystery,0.0015267175572519084,1.0,0.003048780487804878
Adventure,0.0,0.0,0.0
Personal Development,0.0,0.0,0.0
Young Adult,0.0,0.0,0.0
Children's,0.0,0.0,0.0
Poetry,0.3742690058479532,0.7804878048780488,0.5059288537549407
Religion,0.3,0.5869565217391305,0.39705882352941174
History,0.13829787234042554,0.8007246376811594,0.23585912486659552
Philosophy,0.3606060606060606,0.74375,0.4857142857142857
Biography,0.0,0.0,0.0
Non-fiction,0.0,0.0,0.0
Horror,0.00205761316872428,0.5,0.004098360655737705
